,Title,Author,Story Summary,chapter Amount
770,Coffee for two in front of room 204,IronShiba (wegglebots)," Ninomae Ina'nis delivers food for TakoEats. Amelia Watson delivers parcels for Amezon. They meet, two delivery girls in the night. Also they're neighbors.    ",1
771,Consuming Teal,Werrner435," It's been usually the same routine, two girls dumb enough to avoid the sights of any type of affection. Yet were yearning for it like their lives depended on it.    ",1
772,"Together, Off The Deep End",ZoneTheory," Bae is in over her head, taking on too much responsibility, and now she doesn't have time to make the money to pay her rent.IRyS is looking for a roommate, because honestly, she's kinda lonely, and by chance she finds a barista who just might fit the bill.    ",7
773,The Little Edelweiss,Reichan_Zima," As fate would have it, in the midst of a war, unexpected friendships and strange encounters can be forged.( please read the end notes )    ",8
774,Blinding Lights,Tripsout2 (Azureshadowmoon), This is how she spends those autumn days.    ,1
775,Higher Love,Tripsout2 (Azureshadowmoon)," “Don’t think of anything else,” Amelia whispers. “It’s just us.”    ",1
776,Puppy Love,CaptainCaper, Mori Calliope confides in a new love about an old problem.    ,1
777,Comfort shark,Oboron," Ever since she acquired her watch, Amelia Watson never let her guise as a detective fall. There was no exception to that rule.And ever since she met Gura, there has been at least one exception to that rule.    ",1
778,Gem of the Sea,Tripsout2 (Azureshadowmoon), Amelia wakes up in Atlantis. Somehow that's the least of her problems.    ,1
779,Where She Waits,Tripsout2 (Azureshadowmoon)," It's their anniversary. Ame-versary, if you will.    ",1
780,"A Box of Chocolates isn't too Cliche, right?",Meowlordfur, Amelia gets all of her girlfriends a box of chocolates for Valentine's Day. Things quickly get heated.Set roughly two years after 'Among the Myths'.    ,1
781,Vtuber: Connor and his little gremlin: Ironmouse.,MrBoone," Connor, the only human YouTuber left filled in a world with his little gremlin best friend: Ironmouse, friends for years, they always had a dynamic bond, a bond most people normally see it wholesome, sweet, abusive, even sometimes romantic. How long will a innocent relationship go till something happens? Or will the friendship will stay as it is?    ",12
782,sickly,mayraki," Gura gets sick the day of he and Ame's off collab, so she calls Ame to tell her but she has news for the shark    ",1
783,Twisted Judgement,Chrom_H240, Amelia’s investigation starts with he disappearance of IRyS and Kiara having a sense of being followed. During this she comes across a man who is conducting research into myths and gods.    ,3
784,Roommate Wanted. No Betrayers.,Nayarune," Ouro Kronii lives alone in a big empty house, with only anxiety and abandonment issues for company. This needs to change.    ",25
785,Do You Remember?,StoryCorner," Somewhere, there is an open field. And in middle of that field, is a hill. That place is something for Mori Calliope. And she had returned there, and she remembers the place.    ",1
786,The heat haze of August 15th,Peko_Chungus69," Amelia is trying to prevent Gura from dying in the afternoon of August 15th.That’s it, that’s the plot.    ",1
787,Mario Kart Queen,CaptainCaper," Ninomae Ina'nis has a big crush, but little does she know that it's on the Mario Kart Queen.    ",1
788,Tipsy,Gl1tch3dOracle," Drunken food cravings force Calli to go shopping at midnight with her two drunk girlfriends. Or, Calli is forced to babysit a drunk Kiara and Ina.I've never been drunk before so I don't know how to write drunk people, just a warning.    ",1
789,Sins of The Innocent,Kamionii, Time has stopped. The cycle of chaos and balance shattered. Hope is Despair and Despair is Hope. The universe is ending.  Kronii's perfect plan has reached far beyond even her calculations. An alternate Council group is seeing their final days. Can they band back together for one final fight? Will they free themselves from the cycle? Or are they damned as innocents?    ,2
790,A Size Too Small,Meowlordfur," Ina's bored waiting for Amelia to come home from her time traveling shenanigans. When Amelia finally does come home, it would seem she arrived with a few ""upgrades"" as well.Writing this made me feel like a teenage boy again, so read at your own risk.    ",1
791,Ink,IronShiba (wegglebots)," Dreams, time travel, and ink that lives on in skin like a tapestry of a story. Amelia Watson gets her first tattoo from popular artist Ninomae Ina'nis.    ",1
792,Brick by Brick,Tripsout2 (Azureshadowmoon), Amelia has an empty house. Kiara aims to fix this.    ,1
793,Lethe,redsummernight," Calliope was definitely sitting in the middle of fuck-off nowhere, being flirted with by a cheeky, recently departed girlfriend.She was definitely losing it.    ",1
794,I Dare You,PhoebeGalaxy," No one decides who to fall in love with, and for Amelia Watson, it had to be her best friend.    ",1
795,A Timetraveler's Commitment,Kintoun42," Set many years after Hololive, Amelia and Gura meet up at various points in time after they've grown apart.    ",1
796,ill be there when your reality drowns,vcpix," When Amelia was given a case regarding some sea life, she had truthfully imagined a calming fishing trip with some beer and some friends. She did not get that.    ",1
797,Gura and Korone's Gaming Swap,Kousaka_Erena, Gura and Korone swap their specialties in gaming and experience the opposite of what they would normally play.    ,1
798,Death and the Phoenix,marie_eria," A seemingly normal college student, Takanashi Kiara, one day has a fateful encounter with a pink haired young woman, Calliope Mori, who calls herself a Shinigami. After their lives are inseparably bound, Kiara finds herself willing to fight through any pain to keep Calliope safe.NOTE: THIS FIC MAY BE ABANDONED. KEYWORD ON MAY. Been struggling a ton with motivation and i realized that the scope of the story is more than I could take on. There may be more someday, but please don't lose faith in me if there isnt.(AKA: Hololive Bleach AU where Kiara is a human and Calli is a shinigami. Has same plot points as Bleach arcs early on, but I'm going to try to make it as original as possible while keeping concepts. Takamori and Inamesame are the main pairings, and there'll be some Kronmei and Baerys later on if I can fit it into the plot smoothly)Omegaalpha will appear eventually, but its role is a surprise for now. Omega is agender, and she uses she/it/they/he pronouns.)(This fic is a random passion project of mine, and is very much bound to changes. Erratic scheduling due to erratic idea-gathering.)    ",1
799,Until the Rain Stops,PhoebeGalaxy," Every time traveler has the same fate, it was a fact that Amelia didn’t want to face until it was too late, and neither could Gura.    ",9
800,hydrogen fusion,Z__Star, short valentine's day thingy    ,1
801,Touch and Go,Tripsout2 (Azureshadowmoon)," Amelia has been gone for fourteen months.  For Gura, it's been four minutes.    ",1
802,"One Study Session, Please.",gozita2003, Amelia is struggling in History of all things.Perhaps some incentives from Ina will help her remember them better.    ,2
803,The Red Pact,Valmariel," This is the final story of Olivia of the Northern Kingdom. The Red Pact have been signed by blood. I will be there to protect you always, until my body burns out.    ",1
804,the priestess gets what she wants...?,chronekko, Amelia has had a ruff day at work.    ,1
805,Sunshine,IronShiba (wegglebots), Gura can't stop thinking about her first few moments on the surface world. Amelia can't stop worrying about how badly Gura misunderstood the concept of human furniture.A story relating to when the shark felt the sun on her skin for the first time.    ,1
806,Timelapse,Tripsout2 (Azureshadowmoon), The biggest problem with knowing Amelia Watson is not knowing her at all.    ,1
807,Our Home,gozita2003, A series of prompts for Poly EN Rare Pair week!Day 1: Courage/Fear [AmeMori]Day 2: Sunrise [AmeTori]Day 3: Darkness [TakoSame]Day 4: Bloom [TakoTori]Day 5: Stars [AmeSameTori]Day 6: Mountain [MoriAmeTori]Day 7: Peace [Everyone]    ,5
808,Space Enough and Watson,najbeb1, Ame has received a mysterious package.    ,1
809,Mario Kart Queen,CaptainCaper," Ninomae Ina'nis has a big crush, but little does she know that it's on the Mario Kart Queen.    ",1
810,Tipsy,Gl1tch3dOracle," Drunken food cravings force Calli to go shopping at midnight with her two drunk girlfriends. Or, Calli is forced to babysit a drunk Kiara and Ina.I've never been drunk before so I don't know how to write drunk people, just a warning.    ",1
811,Brick by Brick,Tripsout2 (Azureshadowmoon), Amelia has an empty house. Kiara aims to fix this.    ,1
